sales,total_spend
22100,337100
10400,128900
9300,132400
18500,251300
12900,250000
7200,132600
11800,113800
13200,151400
4800,11700
10600,223600
8600,96100
17400,242700
9200,124800
9700,112300
19000,283000
22400,296000
12500,218400
24400,376800
11300,108000
14600,190300
18000,299500
12500,266000
5600,78700
15500,271400
9700,93200
12000,285900
15000,184800
15900,279700
18900,298800
10500,127400
21400,364400
11900,168900
9600,128700
17400,285900
9500,104500
12800,303300
25400,315700
14700,169800
10100,104900
21500,297700
16600,256400
17100,249100
20700,323100
12900,241700
8500,94100
14900,229100
10600,135300
23200,299900
14800,292900
9700,115400
11400,237500
10700,113600
22600,297700
21200,287500
20200,307400
23700,308300
5500,76800
13200,172000
23800,298100
18400,249500
8100,76900
24200,358700
15700,282100
14000,140700
18000,202800
9300,79200
9500,58300
13400,164000
18900,275900
22300,287900
18300,268400
12400,155800
8800,79100
11000,166400
17000,251100
8700,150000
6900,49800
14200,163200
5300,44700
11000,146800
11800,125400
12300,280800
11300,128100
13600,148500
21700,290300
15200,277300
12000,119800
16000,214500
12900,187200
16700,209000
11200,148500
7300,63100
19400,310200
22200,359700
11500,132300
16900,247800
11700,207000
15500,227900
25400,383200
17200,222800
11700,276500
23800,433600
14800,311700
14700,223000
20700,277800
19200,243300
7200,65700
8700,113900
5300,39100
19800,287800
13400,290500
21800,302900
14100,193500
15900,240900
14600,159500
12600,162800
12200,179100
9400,92000
15900,241800
6600,57700
15500,214300
7000,90900
11600,242000
15200,170100
19700,336000
10600,124900
6600,97300
8800,89400
24700,272500
9700,114700
1600,49000
12700,311100
5700,37700
19600,298400
10800,141100
11600,103800
9500,73900
20800,362300
9600,89400
20700,230500
10900,103300
19200,304700
20100,291600
10400,144700
11400,149900
10300,151200
13200,256100
25400,336500
10900,90200
10100,91100
16100,331600
11600,178100
16600,235100
19000,248700
15600,218400
3200,21400
15300,187900
10100,175400
7300,93800
12900,184700
14400,221300
13300,170800
14900,232100
18000,207700
11900,137300
11900,322700
8000,77100
12200,231400
17100,296600
15000,301300
8400,80000
14500,232800
7600,56700
11700,188300
11500,238900
27000,367600
20200,298900
11700,213200
11800,302700
12600,193200
10500,167500
12200,251300
8700,91600
26200,402400
17600,305100
22600,269700
10300,168200
17300,238000
15900,303600
6700,54200
10800,86400
9900,92300
5900,52900
19600,212400
17300,191300
7600,55700
9700,107200
12800,192700
25500,391800
13400,249400
